SampleId,_CO,_M3,_RT,_MI,_OF,_IF,_SA,_WA,_KCL
sample_0,0.3615854102175321,0.35118255591316366,0.33730127904521673,0.22169784769773934,0.38210672516729516,0.3935529953476643,0.35537995737864764,0.33321055514065634,0.10773099644086226
sample_1,0.21977701896121693,0.3506827016179946,0.3383702399893205,0.18346187117947443,0.36308728074198615,0.39355595274259,0.3936784362263816,0.39741985782059264,0.3961174247291983
sample_10,0.3300454309258355,0.3643704062313531,0.34388284750083364,0.3944356627112482,0.20033663855968503,0.3935494673371713,0.23664565502902493,0.3942187467537304,0.3883293390075949
sample_100,0.37214687695890325,0.3894049057448656,0.3344483223765525,0.27531921236354656,0.3868071249970922,0.3935560001634286,0.2253785817419061,0.38851609253822655,0.39043921588750913
sample_1000,0.3143642893550801,0.3723981950955541,0.30915861802739386,0.29868766794821405,0.3895292036429573,0.39874114119821025,0.3983802047736761,0.36436909230503944,0.3596111322612418
sample_10000,0.34143715169101146,0.35684595228373156,0.18798726274844638,0.19013761218572725,0.38198384590347656,0.3914679500559326,0.3417259853916091,0.2527585740931877,0.3842601029522232
sample_10001,0.3730949053882839,0.36742620474556853,0.31116302137712926,0.30402989534802854,0.38371661397073287,0.3987651345092761,0.2483556509177473,0.383021350062994,0.3904936206892541
sample_10002,0.3922437775116664,0.36448162785628585,0.3847210255758535,0.1560640841717504,0.38357499087689284,0.3988374227678414,0.1178829823876308,0.3823253130578466,0.3945326640080003
sample_10003,0.38707892871459404,0.3669804342251548,0.34476350864472294,0.34096651508588743,0.3451799989228981,0.3931954006252244,0.25394880905430367,0.3890294362222102,0.36191601739958973
sample_10004,0.3640590422350242,0.3569786878386427,0.38719563261741585,0.3446103622472802,0.3621981073996845,0.38992809754149815,0.3371996983790055,0.3708331661213081,0.28844172416801656
sample_10005,0.34860179058912516,0.35926686705993305,0.37827461307717936,0.3564613620791586,0.3745996425763198,0.3935542385920608,0.36056845972957724,0.277471490796936,0.22676915156652536
sample_10006,0.37865025672838837,0.36100055161106287,0.34855576866948507,0.19331305926804668,0.3610936713480127,0.3989133334739325,0.2875457232472067,0.38124918399690383,0.3616555662473565
